,NOMBRE,CONTROL,TIPO_MONITOREO,COSTO_MATRICULA,ESTADO,INGRESOS_FAMILIARES_M1,INGRESOS_FAMILIARES_H2,Labels_3Clusters
80,Chatham University,2,0,32454.0,43,0.14186649974413781,0.0711596745923386,0
81,Laredo Community College,1,0,2700.0,50,0.156230234,0.0,2
82,Los Angeles Film School,3,0,29500.0,5,0.116894977,0.039726027,0
84,The National Hispanic University,3,0,8196.0,5,0.170588235,0.04793951204880309,2
85,Trine University,2,0,28850.0,18,0.14186649974413781,0.0711596745923386,0
86,Lincoln Technical Institute-Union,3,0,27248.0,36,0.1259623544467344,0.04793951204880309,0
87,Dakota College at Bottineau,1,0,4029.0,33,0.161434978,0.082959641,2
88,Brensten Education,3,0,15997.0,56,0.199121523,0.014641288,0
89,Tennessee College of Applied Technology-Dickson,1,0,3477.0,49,0.163961039,0.0,2
90,University of the Virgin Islands,1,0,4794.0,53,0.15777064504154126,0.09437983713587411,2
91,Marinello Schools of Beauty-Reno,3,0,19910.0,38,0.133187773,0.024017467,0
92,Columbia College,1,0,1150.0,5,0.145708583,0.0,2
93,University of Denver,2,0,40707.0,6,0.14186649974413781,0.0711596745923386,0
94,Everest College-City of Industry,3,0,14076.0,5,0.108908582,0.009794776,0
95,Demmons School of Beauty,3,0,6112.0,21,0.1259623544467344,0.0,0
96,Milan Institute of Cosmetology-La Quinta,3,0,16184.0,5,0.108718305,0.009030914,0
98,University of Great Falls,2,0,20960.0,31,0.14186649974413781,0.0711596745923386,0
99,Eastern Center for Arts and Technology,1,0,12000.0,43,0.230215827,0.09437983713587411,2
100,Academy of Hair Design-Oklahoma City,3,0,15100.0,41,0.1259623544467344,0.04793951204880309,0
101,Chaffey College,1,0,1153.0,5,0.15777064504154126,0.09437983713587411,2
102,Freed-Hardeman University,2,0,20468.0,49,0.137820513,0.169871795,1
103,Simpson University,2,0,23300.0,5,0.153735632,0.064655172,0
104,Keiser University-Jacksonville,2,0,16284.0,10,0.14186649974413781,0.0711596745923386,0
105,The Hair Academy Inc,3,0,10475.0,12,0.1259623544467344,0.0,0
106,The King’s College,2,0,31300.0,39,0.1328125,0.21484375,1
107,Lake Career and Technical Center,1,0,4500.0,28,0.15777064504154126,0.0,2
108,Skagit Valley College,1,0,4200.0,55,0.171180378,0.019928462,2
109,Francis Marion University,1,0,9386.0,47,0.173731031,0.060701204,2
110,Everest Institute-Grand Rapids,3,0,18556.0,26,0.104495268,0.010252366,0
111,Empire Beauty School-Tucson,3,0,16000.0,4,0.107438017,0.020443671,0
112,Bryant & Stratton College-Milwaukee,3,0,16565.0,56,0.104719336,0.011435537,0
113,Rosel School of Cosmetology,3,0,10700.0,17,0.1259623544467344,0.0,0
114,ITT Technical Institute-Pittsburgh,3,0,18048.0,43,0.1259623544467344,0.04793951204880309,0
115,Empire Beauty School-Laconia,3,0,18495.0,35,0.092783505,0.051546392,0
116,Heritage College-Oklahoma City,3,0,23538.0,41,0.110684932,0.011506849,0
117,CUNY Queensborough Community College,1,0,4540.0,39,0.15777064504154126,0.09437983713587411,2
118,Fortis College-Ravenna,3,0,13174.0,40,0.1259623544467344,0.04793951204880309,0
119,Inter American University of Puerto Rico-Ponce,2,0,4674.0,44,0.14186649974413781,0.0711596745923386,0
120,Concordia College-New York,2,0,28095.0,39,0.175054705,0.129102845,0
121,Westwood College-South Bay,3,0,15122.0,5,0.142065142,0.019404019,0
122,Northeast Technology Center-Kansas,1,0,3400.0,41,0.207894737,0.0,2
123,Southwestern College,2,0,23886.0,19,0.230136986,0.069863014,0
124,Beulah Heights University,2,0,8940.0,12,0.11328125,0.0711596745923386,0
125,University of Phoenix-Maryland Campus,3,0,10240.0,23,0.135500822,0.015967208,0
126,University of Washington-Tacoma Campus,1,0,11902.0,55,0.15777064504154126,0.09437983713587411,0
127,Oceanside College of Beauty,3,0,14603.0,5,0.166666667,0.04793951204880309,0
129,Career Academy of Hair Design,3,0,12950.0,2,0.132992327,0.04793951204880309,0
130,Bryn Athyn College of the New Church,2,0,17724.0,43,0.12,0.152,0
132,Embry-Riddle Aeronautical University-Worldwide,2,0,7800.0,10,0.14186649974413781,0.0711596745923386,0
133,Eastern Hills Academy of Hair Design,3,0,17995.0,40,0.1259623544467344,0.04793951204880309,0
134,George Washington University,2,0,47343.0,8,0.14186649974413781,0.0711596745923386,0
135,St James Mercy Hospital School of Radiologic Science,2,1,5200.0,39,0.14186649974413781,0.0711596745923386,0
136,Red River Technology Center,1,0,3696.0,41,0.15777064504154126,0.0,2
137,Eagle Gate College-Layton,3,0,15220.0,51,0.123730379,0.021237304,0
138,Roberts Wesleyan College,2,0,27364.0,39,0.168862275,0.131736527,0
139,Scioto County Career Technical Center,1,0,9135.0,40,0.105943153,0.09437983713587411,0
140,Miami-Jacobs Career College-Troy,3,0,12024.0,40,0.1259623544467344,0.04793951204880309,0
141,Kaplan College-Dallas,3,0,14780.0,50,0.117565699,0.007607192,0
142,Lincoln Technical Institute-Hamden,3,0,31475.0,7,0.13571572,0.057217426,0
143,Harris School of Business-Dover Campus,3,0,16735.0,9,0.093665768,0.014150943,0
144,Gurnick Academy of Medical Arts,3,0,28480.0,5,0.177520071,0.036574487,0
145,LeMelange Academy of Hair,3,0,19485.0,5,0.142857143,0.04793951204880309,0
146,South Florida Bible College and Theological Seminary,2,0,5130.0,10,0.14186649974413781,0.0,2
147,Howard University,2,0,22683.0,8,0.14186649974413781,0.0711596745923386,0
148,Jackson College,1,0,3504.0,26,0.15777064504154126,0.09437983713587411,2
149,Vanderbilt University,2,0,42978.0,49,0.159021407,0.259938838,1
150,The Salter School-Malden Campus,3,0,12700.0,22,0.1259623544467344,0.04793951204880309,0
151,Wake Forest University,2,0,44742.0,32,0.110985278,0.370328426,1
152,South Hills Beauty Academy Inc,3,0,14450.0,43,0.15625,0.058035714,0
153,Concordia University-Wisconsin,2,0,25160.0,56,0.149158879,0.17046729,1
154,Kirkwood Community College,1,0,4200.0,15,0.15777064504154126,0.09437983713587411,2
155,Estes Institute of Cosmetology Arts and Science,3,0,12575.0,5,0.181818182,0.0,0
156,Keene Beauty Academy,3,0,16355.0,35,0.1259623544467344,0.04793951204880309,0
157,Capital Area Technical College,1,0,3136.0,21,0.070473876,0.0,2
159,Davis & Elkins College,2,0,24992.0,57,0.14186649974413781,0.0711596745923386,0
160,Bellefonte Academy of Beauty,3,0,15900.0,20,0.1259623544467344,0.04793951204880309,0
161,ECPI University-Richmond West,3,0,15035.0,52,0.1259623544467344,0.04793951204880309,0
162,Clovis Adult Education,1,0,10500.0,5,0.085106383,0.0,0
163,Northwest Career College,3,0,11890.0,38,0.157333333,0.04793951204880309,0
164,Community College of Vermont,1,0,5668.0,54,0.15777064504154126,0.09437983713587411,2
165,Mount Aloysius College,2,0,20268.0,43,0.151091703,0.086462882,0
166,Community College of Philadelphia,1,0,4920.0,43,0.15777064504154126,0.09437983713587411,2
167,Central Texas Beauty College-Temple,3,0,8700.0,50,0.120253165,0.0,0
168,Mesa Community College,1,0,1974.0,4,0.15777064504154126,0.09437983713587411,2
169,SABER College,2,0,42475.0,10,0.136734694,0.0711596745923386,0
171,New Mexico State University-Grants,1,0,1782.0,37,0.168851718,0.030628391,2
172,Hunter Business School,3,0,13440.0,39,0.1259623544467344,0.04793951204880309,0
173,Delaware College of Art and Design,2,0,22390.0,9,0.138297872,0.175531915,1
174,The Salon Professional Academy-Great Falls,3,0,16200.0,31,0.194690266,0.0,0
175,University of Missouri-Columbia,1,0,9415.0,28,0.129858754,0.279973722,1
176,Royale College of Beauty,3,0,15213.0,5,0.166666667,0.04793951204880309,0
177,The Art Institute of Cincinnati,3,0,23341.0,40,0.1259623544467344,0.04793951204880309,0
178,Everest College-Henderson,3,0,15552.0,38,0.14101531,0.02256245,0
180,Sanford-Brown Institute-Ft Lauderdale,3,0,15281.0,10,0.100715252,0.014305045,0
181,Ripon College,2,0,31604.0,56,0.14186649974413781,0.0711596745923386,0
182,Pierpont Community and Technical College,1,0,4150.0,57,0.11131304,0.047705588,0
183,Kiamichi Technology Center-Poteau,1,0,1881.0,41,0.129899216,0.0,2
184,Virginia Sewing Machines and School Center,3,0,11295.0,5,0.1259623544467344,0.04793951204880309,0
185,Moore Norman Technology Center,1,0,1902.0,41,0.118210863,0.0,2
186,Indiana University-Southeast,1,0,6700.0,18,0.173076923,0.07977208,2
187,The University of Texas at San Antonio,1,0,7457.0,50,0.15777064504154126,0.09437983713587411,2
188,Texas Barber Colleges and Hairstyling Schools Branch Campus #5,3,0,12450.0,50,0.084255319,0.04793951204880309,0
189,Remington College-Mobile Campus,2,0,15995.0,1,0.100698487,0.00839847,0
190,Hillsdale Free Will Baptist College,2,0,11600.0,41,0.172932331,0.0711596745923386,2
191,National Aviation Academy of New England,3,0,34000.0,22,0.165016502,0.03960396,0
192,ITT Technical Institute-Seattle,3,0,18048.0,55,0.132614555,0.014555256,0
193,Iowa Wesleyan College,2,0,25550.0,15,0.171503958,0.084432718,0
194,Mount Mary University,2,0,25098.0,56,0.158150852,0.082725061,0
195,Central Maine Medical Center College of Nursing and Health Professions,2,0,9520.0,24,0.17948718,0.0711596745923386,2
196,Thaddeus Stevens College of Technology,1,0,7230.0,43,0.15777064504154126,0.09437983713587411,2
197,Portland State University,1,0,7878.0,42,0.15777064504154126,0.09437983713587411,2
198,Northern Arizona University,1,0,9738.0,4,0.178433536,0.146810075,2
199,Community College of Denver,1,0,3187.0,6,0.15777064504154126,0.09437983713587411,2
200,American Musical and Dramatic Academy,2,0,31820.0,39,0.14186649974413781,0.0711596745923386,0
201,Globe University-Woodbury,3,0,14040.0,27,0.145184136,0.032223796,0
202,Great Bay Community College,1,0,7008.0,35,0.141184573,0.081955923,2
203,In Session Arts of Cosmetology Beauty School,3,0,7200.0,26,0.1259623544467344,0.0,0
204,Le Cordon Bleu College of Culinary Arts-Cambridge,3,0,15768.0,22,0.1259623544467344,0.04793951204880309,0
205,Downey Adult School,1,0,2821.0,5,0.150921659,0.09437983713587411,2
206,McCann School of Business and Technology,3,0,9820.0,43,0.1259623544467344,0.04793951204880309,0
207,Sandusky Career Center,1,0,9905.0,40,0.130434783,0.09437983713587411,0
208,Strayer University-St Louis-Brentwood,3,0,15495.0,28,0.138014931,0.012998267,0
209,Rend Lake College,1,0,3232.0,17,0.164860681,0.007739938,2
210,Sanford-Brown College-Middleburg Heights,3,0,15262.0,40,0.100715252,0.014305045,0
211,Grand River Technical School,1,0,5515.0,28,0.211538462,0.0,2
212,Baptist Memorial College of Health Sciences,2,0,12480.0,49,0.160762943,0.039509537,0
213,The Salon Professional Academy-Cincinnati,3,0,16840.0,40,0.102564103,0.041666667,0
214,Western Technical College,3,0,30746.0,50,0.163201008,0.04793951204880309,0
215,Southside Regional Medical Center Professional Schools,3,0,5695.0,52,0.1259623544467344,0.04793951204880309,0
217,Empire Beauty School-Queens,3,0,12860.0,39,0.097618118,0.022256931,0
218,Salter College-Chicopee,3,0,22580.0,22,0.1259623544467344,0.04793951204880309,0
220,Blackhawk Technical College,1,0,3842.0,56,0.141466209,0.026918671,2
221,College of Western Idaho,1,0,3264.0,16,0.15777064504154126,0.09437983713587411,2
222,Tulsa Welding School-Tulsa,3,0,11958.0,41,0.129064039,0.029802956,0
223,Bar Palma Beauty Careers Academy,3,0,17000.0,52,0.1259623544467344,0.0,0
224,Maranatha Baptist University,2,0,13120.0,56,0.227848101,0.093670886,2
225,Utah Valley University,1,0,5086.0,51,0.15777064504154126,0.09437983713587411,2
226,Benes International School of Beauty,3,0,14600.0,10,0.101333333,0.04793951204880309,0
227,The College of Idaho,2,0,24055.0,16,0.14186649974413781,0.0711596745923386,0
228,Muskegon Community College,1,0,3265.0,26,0.15777064504154126,0.09437983713587411,2
229,San Joaquin Valley College-Ontario,3,0,17724.0,5,0.1259623544467344,0.04793951204880309,0
230,South Georgia State College,1,0,3626.0,12,0.166040884,0.036712557,2
232,Chesapeake College,1,0,3290.0,23,0.15777064504154126,0.09437983713587411,2
233,North Central Missouri College,1,0,2820.0,28,0.15777064504154126,0.09437983713587411,2
234,New York School for Medical and Dental Assistants,3,0,14250.0,39,0.094594595,0.04793951204880309,0
235,Tillamook Bay Community College,1,0,4475.0,42,0.144262295,0.09437983713587411,2
237,Dutchess Community College,1,0,3635.0,39,0.15777064504154126,0.09437983713587411,2
238,Colorado State University-Pueblo,1,0,7327.0,6,0.15777064504154126,0.09437983713587411,2
239,Sage School of Massage,3,0,11500.0,42,0.1259623544467344,0.04793951204880309,0
240,Washington University in St Louis,2,0,44841.0,28,0.14186649974413781,0.0711596745923386,0
241,Walters State Community College,1,0,3615.0,49,0.194784289,0.003541533,2
242,Hair Dynamics Education Center,3,0,16500.0,6,0.172248804,0.052631579,0
243,San Joaquin Valley College-Temecula,3,0,17384.0,5,0.1259623544467344,0.04793951204880309,0
244,Computer Career Center-Las Cruces,3,0,14725.0,37,0.100597296,0.006758881,0
245,United Beauty College,3,0,3443.0,6,0.1259623544467344,0.0,2
246,Athena Career Academy,3,0,20415.0,40,0.117647059,0.04793951204880309,0
247,University of North Alabama,1,0,7078.0,1,0.177777778,0.090123457,2
248,Stratford University,3,0,15135.0,52,0.1259623544467344,0.04793951204880309,0
249,Capella University,3,0,12348.0,27,0.1259623544467344,0.04793951204880309,0
250,Southern Worcester County Regional Voc School District,1,0,13500.0,22,0.15777064504154126,0.09437983713587411,0
251,Shear Finesse Hairstyling Academy,3,0,13100.0,10,0.1259623544467344,0.0,0
254,Lakeland Community College,1,0,3217.0,40,0.144554012,0.022635589,2
255,Cloyd's Beauty School 3 Inc,3,0,6975.0,21,0.1259623544467344,0.0,0
256,Texas Barber Colleges and Hairstyling Schools Branch Campus #1,3,0,12450.0,50,0.084255319,0.04793951204880309,0
257,Colegio Educativo Tecnologico Industrial Inc,2,0,7500.0,44,0.14186649974413781,0.0,0
258,Central Lakes College-Staples Campus,1,0,5393.0,27,0.168818272,0.041211519,2
259,Anthem College-Kansas City,3,0,14563.0,28,0.115515564,0.009241245,0
261,Stevens Institute of Business & Arts,3,0,17640.0,28,0.1259623544467344,0.04793951204880309,0
263,Shorter University,2,0,19670.0,12,0.14186649974413781,0.0711596745923386,0
264,Herzing University-Atlanta,3,0,11880.0,12,0.128298233,0.01755023,0
265,ITT Technical Institute-Arnold,3,0,18048.0,28,0.1259623544467344,0.04793951204880309,0
266,Northland Pioneer College,1,0,1606.0,4,0.177334732,0.0,2
267,Virginia College-Shreveport Bossier City,3,0,13240.0,21,0.1259623544467344,0.04793951204880309,0
268,Centenary College of Louisiana,2,0,30740.0,21,0.14186649974413781,0.0711596745923386,0
270,Blue Cliff College-Houma,3,0,16185.0,21,0.061151079,0.00647482,0
272,ITI Technical College,3,0,10575.0,21,0.15501906,0.068614994,0
273,Broken Arrow Beauty College-Tulsa,3,0,11475.0,41,0.133333333,0.074074074,0
274,New York Career Institute,3,0,13200.0,39,0.138195777,0.051823417,0
275,Knox Beauty College,3,0,4990.0,18,0.1259623544467344,0.0,2
276,University of Aesthetics-Chicago,3,0,10234.0,17,0.1259623544467344,0.0,0
277,Hair Design Institute at Fifth Avenue-New York,3,0,13200.0,39,0.125,0.019817073,0
278,Lake Technical Center,1,0,4441.0,10,0.177985949,0.0,2
279,Elmira College,2,0,38150.0,39,0.14186649974413781,0.0711596745923386,0
280,Automotive Training Center-Exton,3,0,38250.0,43,0.150815217,0.08423913,0
281,Carlos Albizu University-Miami,2,0,12048.0,10,0.181818182,0.0711596745923386,2
282,Green Mountain College,2,0,32192.0,54,0.130193906,0.177285319,1
283,Houston Training School-Main Campus,3,0,11400.0,50,0.108,0.0,0
284,ITT Technical Institute-Durham,3,0,18048.0,32,0.1259623544467344,0.04793951204880309,0
285,Arkansas State University-Mountain Home,1,0,2592.0,2,0.185552655,0.049956484,2
286,International Yacht Restoration School,2,0,18240.0,46,0.14186649974413781,0.149253731,0
287,Miller-Motte College-Cary,3,0,10659.0,32,0.1259623544467344,0.04793951204880309,0
288,O'Briens Aveda Institute,3,0,15525.0,54,0.163636364,0.04793951204880309,0
289,Advanced Welding Institute,3,0,18000.0,54,0.186813187,0.04793951204880309,0
290,Florida College of Natural Health-Bradenton,3,0,12473.0,10,0.128282071,0.027006752,0
291,Simmons College of Kentucky,2,0,4620.0,20,0.14186649974413781,0.0,2
292,Regency Beauty Institute-Rockford,3,0,16200.0,17,0.094486839,0.027951642,0
293,North Central College,2,0,32613.0,17,0.115797546,0.279907976,1
294,Culinary Institute Inc,3,0,16052.0,50,0.161458333,0.026041667,0
295,Midland University,2,0,27146.0,34,0.152968037,0.136986301,0
296,Park West Barber School,3,0,15735.0,32,0.064873418,0.0,0
297,Adelphi University,2,0,30800.0,39,0.149515459,0.240886018,1
298,Biola University,2,0,32142.0,5,0.137372526,0.25314937,1
299,Temple College,1,0,2160.0,50,0.150227212,0.019513499,2
300,Pratt Manhattan-A Division of Pratt Institute,2,0,43126.0,39,0.158712542,0.254162042,1
301,Instituto de Banca y Comercio Inc,3,0,9875.0,44,0.1259623544467344,0.04793951204880309,0
302,University of North Carolina School of the Arts,1,0,8271.0,32,0.143292683,0.231707317,1
303,Bridgemont Community and Technical College,1,0,4010.0,57,0.151241535,0.029345373,2
304,Pat Goins Benton Road Beauty School,3,0,15255.0,21,0.1259623544467344,0.0,0
305,New Professions Technical Institute,3,0,13995.0,10,0.1259623544467344,0.04793951204880309,0
306,Daymar Institute-Nashville,3,0,18000.0,49,0.121235521,0.04793951204880309,0
307,Newschool of Architecture and Design,3,0,24536.0,5,0.157894737,0.087719298,0
308,Global Health College,3,0,20082.0,52,0.214285714,0.04,2
309,Kaplan College-Sacramento,3,0,14236.0,5,0.099716714,0.009631728,0
310,Be'er Yaakov Talmudic Seminary,2,0,7600.0,39,0.14186649974413781,0.0,0
311,Northwestern College-Southwestern Campus,3,0,16290.0,17,0.116051243,0.011303693,0
312,Butler Beauty Academy,3,0,13800.0,43,0.098837209,0.04793951204880309,0
313,Dade Medical College-Miami,3,0,47813.0,10,0.1259623544467344,0.04793951204880309,0
315,Ross Medical Education Center-Niles,3,0,15680.0,40,0.1259623544467344,0.04793951204880309,0
316,Wes Watkins Technology Center,1,0,4696.0,41,0.15777064504154126,0.0,2
317,Middlebury College,2,0,45314.0,54,0.14186649974413781,0.0711596745923386,0
318,Tompkins Cortland Community College,1,0,5085.0,39,0.15777064504154126,0.09437983713587411,2
319,New College of Florida,1,0,6866.0,10,0.190661479,0.182879377,2
320,Mildred Elley School-Albany Campus,3,0,9456.0,39,0.106031128,0.006322957,0
321,Buchanan Beauty College,3,0,11900.0,49,0.1259623544467344,0.04793951204880309,0
322,Worcester Polytechnic Institute,2,0,42778.0,22,0.14186649974413781,0.0711596745923386,0
324,Yeshiva of Machzikai Hadas,2,0,7300.0,39,0.14186649974413781,0.0,0
325,Southwest School of Business and Technical Careers-Corpus Christi,3,0,14550.0,50,0.056291391,0.04793951204880309,0
326,Remington College-Columbia Campus,2,0,15995.0,47,0.100698487,0.00839847,0
327,Empire Beauty School-Richmond,3,0,18360.0,52,0.107373868,0.023285899,0
328,ITT Technical Institute-Webster,3,0,18048.0,50,0.1259623544467344,0.04793951204880309,0
329,American Commercial College-Odessa,3,0,11880.0,50,0.091254753,0.04793951204880309,0
330,California Miramar University,3,0,7990.0,5,0.1259623544467344,0.04793951204880309,0
331,California Healing Arts College,3,0,15428.0,5,0.119496855,0.04793951204880309,0
332,Ogle School Hair Skin Nails-Denton,3,0,16350.0,50,0.131212724,0.028827038,0
333,Westwood College-Inland Empire,3,0,15134.0,5,0.161740558,0.023399015,0
334,ITT Technical Institute-DeSoto,3,0,18048.0,50,0.1259623544467344,0.04793951204880309,0
335,Florida Academy,3,0,9000.0,10,0.121212121,0.04793951204880309,0
336,Southern Careers Institute-Austin,3,0,18950.0,50,0.085966352,0.003693065,0
337,Independence Community College,1,0,2576.0,19,0.213973799,0.050946143,2
338,Tennessee College of Applied Technology-Oneida-Huntsville,1,0,3477.0,49,0.130769231,0.0,2
339,Dayton School of Medical Massage,3,0,15400.0,40,0.137318255,0.025848142,0
340,Lakeland College,2,0,22950.0,56,0.182758621,0.073275862,0
341,Rasmussen College-Brooklyn Park,3,0,10764.0,27,0.1259623544467344,0.04793951204880309,0
342,Santiago Canyon College,1,0,1142.0,5,0.201328564,0.007153807,2
343,Everest College-Torrance,3,0,21388.0,5,0.091216216,0.04793951204880309,0
344,Miller-Motte College-Fayetteville,3,0,10737.0,32,0.1259623544467344,0.04793951204880309,0
345,Pacific College of Oriental Medicine-San Diego,3,0,8088.0,5,0.134328358,0.042288557,0
346,Antonelli College-Cincinnati,3,0,15980.0,40,0.045905707,0.04793951204880309,0
347,New Concept Massage and Beauty School,3,0,11087.0,10,0.1259623544467344,0.0,0
348,The Salon Professional Academy-South Plainfield,3,0,16070.0,36,0.184615385,0.04793951204880309,0
349,Bryan College of Health Sciences,2,0,12711.0,34,0.107806691,0.12267658,0
350,Eastern College of Health Vocations-Little Rock,3,0,9960.0,2,0.06650641,0.04793951204880309,0
352,CollegeAmerica-Stevens Henager College,2,0,16972.0,16,0.109090909,0.0711596745923386,0
353,Vatterott College-Joplin,3,0,12467.0,28,0.1259623544467344,0.04793951204880309,0
354,DeVry University-Pennsylvania,3,0,16010.0,43,0.1259623544467344,0.04793951204880309,0
355,University of Phoenix-Las Vegas Campus,3,0,11291.0,38,0.135500822,0.015967208,0
356,Casper College,1,0,2448.0,58,0.159670782,0.055967078,2
